0:0:0:0:0:0:0:1 - - [07/Dec/2023:15:42:17 +0100] "GET /Controller?ACTION=PRODUCTOS.PALABRA&ID=2&PALABRA=Pro HTTP/1.1" 200 3218
127.0.0.1 - - [07/Dec/2023:15:43:42 +0100] "GET /Controller?ACTION=USUARIO.LOGIN&EMAIL=&PASS= HTTP/1.1" 200 34
127.0.0.1 - - [07/Dec/2023:15:43:49 +0100] "GET /Controller?ACTION=PRODUCTOS.FILTER_USUARIO&ID=1 HTTP/1.1" 200 735
127.0.0.1 - - [07/Dec/2023:15:43:55 +0100] "GET /Controller?ACTION=PRODUCTOS.FIND_ALL&ID=1 HTTP/1.1" 200 3220
127.0.0.1 - - [07/Dec/2023:15:43:58 +0100] "GET /Controller?ACTION=PRODUCTOS.ESTADO&ID=1&ESTADO=NoActive HTTP/1.1" 200 1613
127.0.0.1 - - [07/Dec/2023:15:44:05 +0100] "GET /Controller?ACTION=PRODUCTOS.ESTADO&ID=1&ESTADO=Active HTTP/1.1" 200 1609
127.0.0.1 - - [07/Dec/2023:15:44:47 +0100] "GET /Controller?ACTION=PRODUCTOS.ESTADO&ID=1&ESTADO=Active HTTP/1.1" 200 1609
127.0.0.1 - - [07/Dec/2023:15:44:49 +0100] "GET /Controller?ACTION=PRODUCTOS.ESTADO&ID=1&ESTADO=NoActive HTTP/1.1" 200 1613
127.0.0.1 - - [07/Dec/2023:16:38:54 +0100] "GET /Controller?ACTION=USUARIO.LOGIN&EMAIL=&PASS= HTTP/1.1" 200 34
127.0.0.1 - - [07/Dec/2023:16:38:54 +0100] "GET /Controller?ACTION=PRODUCTOS.FILTER_USUARIO&ID=1 HTTP/1.1" 200 735
127.0.0.1 - - [07/Dec/2023:16:40:21 +0100] "GET /Controller?ACTION=USUARIO.LOGIN&EMAIL=&PASS= HTTP/1.1" 200 34
127.0.0.1 - - [07/Dec/2023:16:40:22 +0100] "GET /Controller?ACTION=PRODUCTOS.FILTER_USUARIO&ID=1 HTTP/1.1" 200 735
127.0.0.1 - - [07/Dec/2023:16:40:58 +0100] "GET /Controller?ACTION=USUARIO.LOGIN&EMAIL=&PASS= HTTP/1.1" 200 34
127.0.0.1 - - [07/Dec/2023:16:40:58 +0100] "GET /Controller?ACTION=PRODUCTOS.FILTER_USUARIO&ID=1 HTTP/1.1" 200 735
127.0.0.1 - - [07/Dec/2023:16:44:31 +0100] "GET /Controller?ACTION=USUARIO.LOGIN&EMAIL=&PASS= HTTP/1.1" 200 34
127.0.0.1 - - [07/Dec/2023:16:44:31 +0100] "GET /Controller?ACTION=PRODUCTOS.FILTER_USUARIO&ID=1 HTTP/1.1" 200 735
127.0.0.1 - - [07/Dec/2023:16:44:33 +0100] "GET /Controller?ACTION=PRODUCTOS.FIND_ALL&ID=1 HTTP/1.1" 200 3220
127.0.0.1 - - [07/Dec/2023:16:44:40 +0100] "GET /Controller?ACTION=PRODUCTOS.PALABRA&ID=1&PALABRA=Pr HTTP/1.1" 200 3220
127.0.0.1 - - [07/Dec/2023:16:44:42 +0100] "GET /Controller?ACTION=PRODUCTOS.PALABRA&ID=1&PALABRA=Pr HTTP/1.1" 200 3220
127.0.0.1 - - [07/Dec/2023:16:44:47 +0100] "GET /Controller?ACTION=PRODUCTOS.PALABRA&ID=1&PALABRA=Pr HTTP/1.1" 200 3220
127.0.0.1 - - [07/Dec/2023:16:44:57 +0100] "GET /Controller?ACTION=PRODUCTOS.PALABRA&ID=1&PALABRA=Y HTTP/1.1" 200 536
127.0.0.1 - - [07/Dec/2023:16:45:03 +0100] "GET /Controller?ACTION=PRODUCTOS.PALABRA&ID=1&PALABRA=sa HTTP/1.1" 200 2
127.0.0.1 - - [07/Dec/2023:16:45:05 +0100] "GET /Controller?ACTION=PRODUCTOS.PALABRA&ID=1&PALABRA=sa HTTP/1.1" 200 2
127.0.0.1 - - [07/Dec/2023:16:45:05 +0100] "GET /Controller?ACTION=PRODUCTOS.PALABRA&ID=1&PALABRA=sa HTTP/1.1" 200 2
